ノードＩＤ,緯度経度桁数コード,緯度,経度,高さ
00001B000000000309CEDEA662B1FFC1,3,35.42.36.572,139.45.26.779,0,
00001B000000000309CEDEA662B67FC1,3,35.42.36.508,139.45.27.628,0,
00001B000000000309CEDE2662B8FFC1,3,35.42.36.472,139.45.28.107,0,
00001B000000000309CEDA2662B57FC1,3,35.42.35.607,139.45.27.454,0,
00001B000000000309CEF0A662C1FFC1,3,35.42.40.174,139.45.29.928,0,
00001B000000000309CEEA2662BA7FC1,3,35.42.38.888,139.45.28.416,0,
00001B000000000309CEE9A662C0FFC1,3,35.42.38.792,139.45.29.791,0,
00001B000000000309CEDD2662BF7FC1,3,35.42.36.284,139.45.29.446,0,
00001B000000000309CECFA662BCFFC1,3,35.42.33.564,139.45.28.985,0,
00001B000000000309CECDA662C57FC1,3,35.42.33.164,139.45.30.651,0,
00001B000000000309CED5A662C6FFC1,3,35.42.34.738,139.45.30.987,0,
00001B000000000309CED5A662C8FFC1,3,35.42.34.726,139.45.31.342,0,
00001B000000000309CED52662D8FFC1,3,35.42.34.656,139.45.34.517,0,
00001B000000000309CEDEA662DAFFC1,3,35.42.36.503,139.45.34.928,0,
00001B000000000309CEDE2662D7FFC1,3,35.42.36.427,139.45.34.328,0,
00001B000000000309CECFA662D97FC1,3,35.42.33.551,139.45.34.668,0,
00001B000000000309CEC72662DA7FC1,3,35.42.31.861,139.45.34.889,0,
00001B000000000309CECC2662CB7FC1,3,35.42.32.885,139.45.31.806,0,
00001B000000000309CEC92662D47FC1,3,35.42.32.263,139.45.33.601,0,
00001B000000000309CEC6A662DC7FC1,3,35.42.31.709,139.45.35.289,0,
00001B000000000309CEC62662E0FFC1,3,35.42.31.686,139.45.36.133,0,
00001B000000000309CEDFA662C7FFC1,3,35.42.36.725,139.45.31.175,0,
00001B000000000309CEDEA662D77FC1,3,35.42.36.567,139.45.34.271,0,
00001B000000000309CEE82662CAFFC1,3,35.42.38.442,139.45.31.721,0,
00001B000000000309CEED2662D6FFC1,3,35.42.39.402,139.45.34.123,0,
00001B000000000309CEDC2662E57FC1,3,35.42.36.020,139.45.37.035,0,
00001B000000000309CEE9A6628DFFC1,3,35.42.38.737,139.45.19.559,0,
00001B000000000309CEE9A6628DFFC2,3,35.42.38.712,139.45.19.513,0,
00001B000000000309CF142662A4FFC1,3,35.42.47.293,139.45.24.106,0,
00001B000000000309CF142662A4FFC2,3,35.42.47.260,139.45.24.167,0,
00001B000000000309CEC72662E4FFC1,3,35.42.31.818,139.45.36.969,0,
00001B000000000309CEC72662E57FC1,3,35.42.31.824,139.45.37.080,0,
00001B000000000309CEB4A662DBFFC1,3,35.42.28.153,139.45.35.178,0,
00001B000000000309CEB42662DBFFC1,3,35.42.28.039,139.45.35.171,0,
00001B000000000309CEB02662D9FFC1,3,35.42.27.256,139.45.34.705,0,
00001B000000000309CEAFA662D9FFC1,3,35.42.27.174,139.45.34.706,0,
00001B000000000309CEE62662DE7FC1,3,35.42.38.085,139.45.35.684,0,
00001B000000000309CEE62662DEFFC1,3,35.42.38.094,139.45.35.752,0,
00001B000000000309CF262662B0FFC1,3,35.42.50.835,139.45.26.571,0,
00001B000000000309CF24A662B2FFC1,3,35.42.50.594,139.45.26.987,0,
00001B000000000309CF0FA662A67FC1,3,35.42.46.392,139.45.24.457,0,
00001B000000000309CF0DA662AE7FC1,3,35.42.45.993,139.45.26.088,0,
00001B000000000309CF0C2662B4FFC1,3,35.42.45.664,139.45.27.323,0,
00001B000000000309CF0BA662B5FFC1,3,35.42.45.534,139.45.27.573,0,
00001B000000000309CF0EA662B97FC1,3,35.42.46.146,139.45.28.295,0,
00001B000000000309CF0EA662B5FFC1,3,35.42.46.145,139.45.27.543,0,
00001B000000000309CEF0A6629FFFC1,3,35.42.40.137,139.45.23.149,0,
00001B000000000309CEF12662C57FC1,3,35.42.40.205,139.45.30.622,0,
00001B000000000309CF04A662A57FC1,3,35.42.44.142,139.45.24.246,0,
00001B000000000309CF072662A57FC1,3,35.42.44.632,139.45.24.274,0,
00001B000000000309CF04A6629A7FC1,3,35.42.44.130,139.45.22.063,0,
00001B000000000309CF082662A87FC1,3,35.42.44.874,139.45.24.876,0,
00001B000000000309CF02A662C37FC1,3,35.42.43.725,139.45.30.251,0,
00001B000000000309CEE5A662D4FFC1,3,35.42.37.961,139.45.33.788,0,
00001B000000000309CED02662DF7FC1,3,35.42.33.602,139.45.35.875,0,
00001B000000000309CF3CA662C6FFC1,3,35.42.55.341,139.45.30.952,0,
00001B000000000309CEE22662D9FFC1,3,35.42.37.221,139.45.34.749,0,
00001B000000000309CEC32662F0FFC1,3,35.42.31.078,139.45.39.366,0,
00001B000000000309CED5A662EDFFC1,3,35.42.34.776,139.45.38.741,0,
00001B000000000309CEF4A662837FC1,3,35.42.40.999,139.45.17.416,0,
00001B000000000309CED8A662BEFFC1,3,35.42.35.390,139.45.29.305,0,
00001B000000000309CEA1A662E17FC1,3,35.42.24.341,139.45.36.227,0,
00001B000000000309CEABA662D9FFC1,3,35.42.26.300,139.45.34.795,0,
00001B000000000309CEA1A662DAFFC1,3,35.42.24.351,139.45.34.999,0,
00001B000000000309CEADA66318FFC1,3,35.42.26.734,139.45.47.348,0,
00001B000000000309CEC62662C3FFC1,3,35.42.31.682,139.45.30.342,0,
00001B000000000309CEABA662DAFFC1,3,35.42.26.313,139.45.34.971,0,
00001B000000000309CEC6266322FFC1,3,35.42.31.665,139.45.49.394,0,
00001B000000000309CF16A662A3FFC1,3,35.42.47.750,139.45.23.909,0,
00001B000000000309CF15A662A5FFC1,3,35.42.47.521,139.45.24.305,0,
00001B000000000309CF132662C0FFC1,3,35.42.47.025,139.45.29.733,0,
00001B000000000309CEF4A6629FFFC1,3,35.42.40.900,139.45.23.149,0,
00001B000000000309CEF0A6629EFFC1,3,35.42.40.140,139.45.22.951,0,
00001B000000000309CED6A662A2FFC1,3,35.42.34.945,139.45.23.753,0,
00001B000000000309CEB32662D5FFC1,3,35.42.27.881,139.45.33.991,0,
00001B000000000309CEB12662D4FFC1,3,35.42.27.480,139.45.33.720,0,
00001B000000000309CEAF2662D4FFC1,3,35.42.27.089,139.45.33.736,0,
00001B000000000309CEB5A662F37FC1,3,35.42.28.335,139.45.39.821,0,
00001B000000000309CEAC2662F57FC1,3,35.42.26.439,139.45.40.247,0,
00001B000000000309CEAC2662E27FC1,3,35.42.26.473,139.45.36.457,0,
00001B000000000309CF192662ABFFC1,3,35.42.48.234,139.45.25.583,0,
00001B000000000309CF232662BDFFC1,3,35.42.50.270,139.45.29.157,0,
00001B000000000309CEEC26628C7FC1,3,35.42.39.298,139.45.19.205,0,
00001B000000000309CEEC26628BFFC1,3,35.42.39.271,139.45.19.133,0,
00001B000000000309CEF3A662A1FFC1,3,35.42.40.781,139.45.23.537,0,
00001B000000000309CEB32662D6FFC1,3,35.42.27.879,139.45.34.153,0,
00001B000000000309CED3A662E77FC1,3,35.42.34.313,139.45.37.446,0,
00001B000000000309CEE82662E27FC1,3,35.42.38.404,139.45.36.404,0,
00001B000000000309CEE4A662E2FFC1,3,35.42.37.720,139.45.36.584,0,
00001B000000000309CEE42662DF7FC1,3,35.42.37.600,139.45.35.874,0,
00001B000000000309CF012662DB7FC1,3,35.42.43.428,139.45.35.085,0,
00001B000000000309CF11A662D77FC1,3,35.42.46.723,139.45.34.222,0,
00001B000000000309CF112662D3FFC1,3,35.42.46.634,139.45.33.524,0,
00001B000000000309CF0E2662D47FC1,3,35.42.46.038,139.45.33.681,0,
00001B000000000309CF0EA662D7FFC1,3,35.42.46.153,139.45.34.370,0,
00001B000000000309CF1DA662AE7FC1,3,35.42.49.103,139.45.26.048,0,
00001B000000000309CF312662BC7FC1,3,35.42.53.084,139.45.28.873,0,
00001B000000000309CF342662BBFFC1,3,35.42.53.681,139.45.28.715,0,
00001B000000000309CF332662C57FC1,3,35.42.53.424,139.45.30.627,0,
00001B000000000309CF38A662C3FFC1,3,35.42.54.593,139.45.30.313,0,
00001B000000000309CF32A662C37FC1,3,35.42.53.352,139.45.30.256,0,
00001B000000000309CF22A662C3FFC1,3,35.42.50.198,139.45.30.325,0,
00001B000000000309CF1D2662C4FFC1,3,35.42.49.065,139.45.30.508,0,
00001B000000000309CEA7A662EEFFC1,3,35.42.25.550,139.45.38.938,0,
00001B000000000309CEB9A66321FFC1,3,35.42.29.133,139.45.49.132,0,
00001B000000000309CEB9A66321FFC2,3,35.42.29.133,139.45.49.194,0,
00001B000000000309CEAAA662E77FC1,3,35.42.26.136,139.45.37.467,0,
00001B000000000309CEA1A662DC7FC1,3,35.42.24.349,139.45.35.280,0,
00001B000000000309CEAC2662EDFFC1,3,35.42.26.477,139.45.38.744,0,
00001B000000000309CEAC2662EE7FC1,3,35.42.26.474,139.45.38.866,0,
00001B000000000309CEAB2662E27FC1,3,35.42.26.250,139.45.36.470,0,
00001B000000000309CEB5A662F3FFC1,3,35.42.28.352,139.45.39.967,0,
00001B000000000309CEA42662EA7FC1,3,35.42.24.806,139.45.38.021,0,
00001B000000000309CEA42662E9FFC1,3,35.42.24.800,139.45.37.933,0,
00001B000000000309CEA72662E9FFC1,3,35.42.25.461,139.45.37.920,0,
00001B000000000309CEA72662E97FC1,3,35.42.25.464,139.45.37.801,0,
00001B000000000309CED4A662E37FC1,3,35.42.34.575,139.45.36.638,0,
00001B000000000309CED4A662E2FFC1,3,35.42.34.568,139.45.36.581,0,
00001B000000000309CF01A662B87FC1,3,35.42.43.512,139.45.28.005,0,
00001B000000000309CF022662B7FFC1,3,35.42.43.600,139.45.27.997,0,
00001B000000000309CF00A662D6FFC1,3,35.42.43.306,139.45.34.121,0,
90001,3,35.42.46.672,139.45.35.334,0,
90002,3,35.42.42.860,139.45.36.385,0,
90003,3,35.42.43.750,139.45.40.391,0,
90004,3,35.42.38.179,139.45.37.686,0,
90006,3,35.42.47.070,139.45.37.469,0,
90007,3,35.42.48.502,139.45.34.845,0,
90008,3,35.42.51.184,139.45.49.330,0,
90010,3,35.42.32.130,139.45.49.220,0,
90013,3,35.42.33.864,139.45.46.562,0,
90014,3,35.42.33.687,139.45.45.482,0,
90015,3,35.42.33.359,139.45.43.433,0,
90016,3,35.42.33.092,139.45.41.931,0,
90017,3,35.42.36.739,139.45.40.959,0,
90019,3,35.42.36.998,139.45.42.266,0,
90020,3,35.42.47.452,139.45.39.408,0,
90021,3,35.42.44.150,139.45.38.207,0,
90022,3,35.42.44.529,139.45.40.197,0,
90023,3,35.42.40.058,139.45.41.396,0,
90024,3,35.42.43.168,139.45.37.171,0,
90025,3,35.42.45.625,139.45.39.906,0,
90026,3,35.42.46.328,139.45.43.704,0,
90027,3,35.42.47.939,139.45.42.014,0,
90028,3,35.42.47.766,139.45.42.823,0,
90029,3,35.42.49.992,139.45.42.730,0,
90030,3,35.42.47.495,139.45.42.904,0,
90031,3,35.42.50.488,139.45.45.363,0,
90032,3,35.42.50.090,139.45.45.492,0,
90033,3,35.42.48.273,139.45.45.906,0,
90034,3,35.42.47.562,139.45.45.850,0,
90035,3,35.42.46.182,139.45.45.764,0,
90036,3,35.42.44.229,139.45.45.555,0,
90037,3,35.42.41.122,139.45.50.043,0,
90038,3,35.42.38.018,139.45.49.914,0,
90039,3,35.42.46.041,139.45.50.257,0,
90040,3,35.42.40.328,139.45.42.934,0,
90041,3,35.42.37.780,139.45.43.278,0,
90042,3,35.42.37.721,139.45.42.052,0,
90043,3,35.42.37.930,139.45.46.532,0,
90044,3,35.42.37.528,139.45.46.580,0,
90045,3,35.42.37.355,139.45.44.510,0,
90046,3,35.42.39.570,139.45.46.408,0,
90047,3,35.42.40.874,139.45.46.299,0,
90048,3,35.42.40.881,139.45.45.618,0,
90049,3,35.42.40.482,139.45.43.348,0,
90050,3,35.42.48.545,139.45.49.971,0,
90051,3,35.42.48.255,139.45.50.420,0,
90052,3,35.42.34.428,139.45.49.714,0,
90053,3,35.42.31.721,139.45.43.861,0,
90054,3,35.42.31.384,139.45.44.247,0,
90055,3,35.42.37.942,139.45.53.010,0,
90056,3,35.42.38.339,139.45.53.026,0,
90057,3,35.42.33.015,139.45.41.461,0,
90058,3,35.42.31.913,139.45.41.735,0,
90059,3,35.42.32.676,139.45.39.519,0,
90060,3,35.42.31.788,139.45.39.735,0,
90061,3,35.42.39.537,139.45.45.832,0,
90062,3,35.42.39.759,139.45.44.786,0,
90063,3,35.42.28.080,139.45.46.062,0,
90064,3,35.42.31.902,139.45.47.094,0,
90065,3,35.42.31.390,139.45.48.362,0,
90066,3,35.42.32.181,139.45.48.912,0,
90067,3,35.42.34.964,139.45.46.756,0,
90068,3,35.42.34.918,139.45.46.476,0,
90069,3,35.42.41.279,139.45.46.790,0,
90070,3,35.42.41.148,139.45.49.797,0,
90071,3,35.42.44.485,139.45.46.863,0,
90072,3,35.42.44.612,139.45.46.484,0,
90073,3,35.42.42.181,139.45.44.442,0,
90074,3,35.42.41.289,139.45.45.656,0,
90075,3,35.42.41.810,139.45.44.992,0,
90076,3,35.42.42.284,139.45.44.738,0,
90077,3,35.42.47.178,139.45.43.497,0,
90078,3,35.42.47.433,139.45.44.931,0,
90079,3,35.42.47.615,139.45.45.219,0,
90080,3,35.42.48.537,139.45.45.565,0,
90081,3,35.42.49.215,139.45.44.881,0,
90082,3,35.42.49.442,139.45.44.530,0,
90083,3,35.42.49.199,139.45.42.924,0,
90084,3,35.42.49.060,139.45.50.498,0,
90085,3,35.42.48.603,139.45.51.069,0,
90086,3,35.42.38.895,139.45.41.698,0,
90087,3,35.42.37.858,139.45.44.966,0,
90088,3,35.42.37.426,139.45.45.027,0,
90089,3,35.42.43.909,139.45.36.943,0,
90090,3,35.42.36.269,139.45.38.487,0,
90091,3,35.42.48.898,139.45.36.927,0,
90092,3,35.42.50.285,139.45.44.288,0,
90093,3,35.42.38.302,139.45.54.162,0,
90094,3,35.42.37.908,139.45.54.149,0,
90095,3,35.42.38.358,139.45.58.172,0,
90096,3,35.42.37.826,139.45.56.816,0,
90097,3,35.42.49.273,139.45.38.915,0,
90098,3,35.42.35.725,139.45.44.942,0,
90099,3,35.42.35.840,139.45.46.181,0,
90100,3,35.42.34.171,139.45.48.251,0,
90101,3,35.42.34.764,139.45.48.110,0,
90102,3,35.42.35.027,139.45.47.759,0,
90103,3,35.42.39.578,139.45.48.280,0,
90104,3,35.42.45.799,139.45.40.849,0,
90105,3,35.42.46.440,139.45.42.266,0,
90106,3,35.42.46.078,139.45.42.356,0,
90107,3,35.42.34.492,139.45.50.268,0,
90108,3,35.42.33.295,139.45.50.133,0,
90109,3,35.42.33.271,139.45.49.601,0,
90110,3,35.42.32.080,139.45.48.255,0,
90111,3,35.42.34.075,139.45.47.713,0,
90112,3,35.42.31.313,139.45.47.307,0,
90113,3,35.42.40.762,139.45.43.965,0,
90114,3,35.42.38.416,139.45.50.700,0,
90115,3,35.42.38.006,139.45.50.650,0,
90116,3,35.42.49.783,139.45.41.625,0,
90117,3,35.42.49.447,139.45.41.712,0,
90118,3,35.42.48.599,139.45.41.669,0,
90119,3,35.42.47.833,139.45.41.449,0,
90120,3,35.42.47.614,139.45.42.868,0,
90121,3,35.42.48.738,139.45.42.567,0,
90122,3,35.42.48.605,139.45.42.598,0,
90123,3,35.42.48.378,139.45.42.652,0,
90124,3,35.42.47.239,139.45.43.840,0,
90125,3,35.42.47.208,139.45.43.669,0,
90126,3,35.42.46.508,139.45.44.001,0,
90127,3,35.42.46.289,139.45.43.495,0,
90128,3,35.42.46.312,139.45.43.936,0,
90129,3,35.42.50.819,139.45.47.252,0,
90130,3,35.42.38.902,139.45.49.962,0,
90131,3,35.42.38.884,139.45.50.718,0,
90132,3,35.42.37.797,139.45.49.889,0,
90133,3,35.42.41.102,139.45.50.851,0,
90134,3,35.42.41.909,139.45.50.926,0,
90135,3,35.42.41.541,139.45.50.873,0,
90136,3,35.42.44.150,139.45.51.002,0,
90137,3,35.42.47.316,139.45.51.108,0,
90138,3,35.42.44.783,139.45.50.958,0,
90139,3,35.42.42.155,139.45.45.887,0,
90140,3,35.42.39.800,139.45.48.241,0,
90141,3,35.42.44.788,139.45.50.203,0,
00001B000000000309CECB2662EFFFC1,3,35.42.32.616,139.45.39.106,0,
90143,3,35.42.30.632,139.45.45.823,0,
90144,3,35.42.31.631,139.45.45.603,0,
90145,3,35.42.30.762,139.45.46.499,0,
90146,3,35.42.31.145,139.45.46.410,0,
90147,3,35.42.33.975,139.45.47.740,0,
90148,3,35.42.32.215,139.45.48.218,0,
90149,3,35.42.38.263,139.45.53.023,0,
90150,3,35.42.38.198,139.45.53.020,0,
90151,3,35.42.38.442,139.45.53.026,0,
90152,3,35.42.38.122,139.45.54.156,0,
90153,3,35.42.38.193,139.45.54.159,0,
90154,3,35.42.37.889,139.45.54.757,0,
90155,3,35.42.37.655,139.45.54.745,0,
90156,3,35.42.38.245,139.45.56.096,0,
90157,3,35.42.38.257,139.45.55.673,0,
90158,3,35.42.38.294,139.45.54.457,0,
90159,3,35.42.38.284,139.45.54.765,0,
90160,3,35.42.37.821,139.45.50.464,0,
90161,3,35.42.48.470,139.45.43.163,0,
90162,3,35.42.48.195,139.45.43.355,0,
90163,3,35.42.47.852,139.45.43.348,0,
90164,3,35.42.49.237,139.45.43.176,0,
90165,3,35.42.49.217,139.45.43.045,0,
90166,3,35.42.47.638,139.45.51.099,0,
90167,3,35.42.47.260,139.45.42.039,0,
90168,3,35.42.47.087,139.45.44.169,0,
90169,3,35.42.47.287,139.45.44.111,0,