出入口ＩＤ,対応ノードID,対応施設ID,出入口の名称,出入口の有効幅員,扉の種類,段差
00001B000000000309CEF0A6629EFFC2,00001B000000000309CEF0A6629EFFC1,00001B000000000309CEF1A6629C9981,鳳明館本館,2,3,1
00001B000000000309CEFF26629F7FC2,00001B000000000309CEFF26629F7FC1,00001B000000000309CEFFA6629EFFC1,石川啄木ゆかりの蓋平館別荘跡,3,0,1
00001B000000000309CEFF26629F7FC3,00001B000000000309CEFF26629F7FC1,00001B000000000309CEFFA6629E9981,太栄館,3,0,1
00001B000000000309CEE9A6628DFFC4,00001B000000000309CEE9A6628DFFC1,00001B000000000309CEEA26628E1981,旧伊勢屋質店,3,0,3
00001B000000000309CF142662A4FFC4,00001B000000000309CF142662A4FFC2,00001B000000000309CF13A662A61981,一般財団法人慈愛病院,3,1,3
00001B000000000309CEC72662E4FFC2,00001B000000000309CEC72662E4FFC1,00001B000000000309CEC72662E41981,宮田花店,0,4,2
00001B000000000309CEB4A662DBFFC2,00001B000000000309CEB4A662DBFFC1,00001B000000000309CEB72662DC1981,ホテル機山館,3,1,2
00001B000000000309CEB02662D9FFC3,00001B000000000309CEB02662D9FFC1,00001B000000000309CEB22662D91981,本郷四郵便局,0,1,1
00001B000000000309CEE62662DE7FC2,00001B000000000309CEE62662DE7FC1,00001B000000000309CEE62662DC1981,ナチュラルローソン東大赤門前店,3,2,0
00001B000000000309CEA7A662EEFFC2,00001B000000000309CEA7A662EEFFC1,00001B000000000309CEA92662F11981,みずほ銀行本郷支店,0,1,0
00001B000000000309CEB9A6644DFFC1,00001B000000000309CEB9A66321FFC1,00001B000000000309CEB9A663209981,湯島地域活動センター,3,1,0
00001B000000000309CEAAA662E77FC2,00001B000000000309CEAAA662E77FC1,00001B000000000309CEA9A662E71981,かねやす,2,1,0
00001B000000000309CEB12662D4FFC2,00001B000000000309CEB12662D4FFC1,00001B000000000309CEB2A662D49981,櫻木神社,3,0,0
00001B000000000309CEB32662D5FFC2,00001B000000000309CEB32662D5FFC1,00001B000000000309CEB2A662D49981,櫻木神社,1,0,0
00001B000000000309CEE5A662D4FFC2,00001B000000000309CEE5A662D4FFC1,00001B000000000309CEE4A662CF9981,法真寺（樋口一葉ゆかりの寺）,3,0,0
00001B000000000309CEF3A662A1FFC2,00001B000000000309CEF3A662A1FFC1,00001B000000000309CEF32662A11981,鳳明館台町別館,2,3,3
00001B000000000309CF132662C0FFC2,00001B000000000309CF132662C0FFC1,00001B000000000309CF162662C09981,フォーレスト本郷,1,1,1
00001B000000000309CF232662BDFFC2,00001B000000000309CF232662BDFFC1,00001B000000000309CF262662BE9981,鳳明館森川別館,2,3,1
00001B000000000309CEA1A662DC7FC2,00001B000000000309CEA1A662DC7FC1,00001B000000000309CEA12662DC9981,ローソン本郷三丁目メトロピア店,0,1,0
00001B000000000309CEAC2662EE7FC3,00001B000000000309CEAC2662EE7FC1,00001B000000000309CEACA662EF9981,ファミリーマート本郷三丁目店,0,1,0
00001B000000000309CEB5A662F3FFC2,00001B000000000309CEB5A662F3FFC1,00001B000000000309CEAE2662EA1883,大江戸線本郷三丁目駅,3,0,2
00001B000000000309CEAC2662F57FC2,00001B000000000309CEAC2662F57FC1,00001B000000000309CEAE2662EA1883,大江戸線本郷三丁目駅,3,0,0
00001B000000000309CEAB2662E27FC2,00001B000000000309CEAB2662E27FC1,00001B000000000309CEAE2662EA1883,大江戸線本郷三丁目駅,3,0,0
00001B000000000309CEA1A662DC7FC3,00001B000000000309CEA1A662DC7FC1,00001B000000000309CE9E2662E01983,丸の内線本郷三丁目駅,3,0,0
00001B000000000309CEA42662E9FFC3,00001B000000000309CEA42662E9FFC1,00001B000000000309CEA3A662E51A01,海鮮居酒屋 はなの舞 本郷三丁目駅前店,0,0,0
00001B000000000309CEA72662E97FC3,00001B000000000309CEA72662E97FC1,00001B000000000309CEA72662E41A01,とん豚テジ 本郷店,0,0,0
00001B000000000309CEA72662E97FC4,00001B000000000309CEA72662E97FC1,00001B000000000309CEA82662E51981,西安刀削麺酒楼 本郷店,0,0,0
00001B000000000309CED4A662E2FFC2,00001B000000000309CED4A662E2FFC1,00001B000000000309CED4A662E11981,アジアンダイニング イエティ,0,0,0
00001B000000000309CEB4A662DBFFC3,00001B000000000309CEB4A662DBFFC1,00001B000000000309CEB52662DB9981,ビアレストラン宴,3,1,2
00001B000000000309CF01A662B87FC3,00001B000000000309CF01A662B87FC1,00001B000000000309CF00A662B79981,徳田秋声旧宅,0,0,0
00001B000000000309CF00A662D6FFC2,00001B000000000309CF00A662D6FFC1,00001B000000000309CF022662D31981,本郷郵便局,3,1,0
00001B000000000309CEEC26628C7FC2,00001B000000000309CEEC26628C7FC1,00001B000000000309CEECA6628D1981,本郷五郵便局,3,1,0